,h,U,L,H,N,tf,W,CW,CH,Q,s,dh,A_hs,Nu_L,Re_dh
0,11.34287098277693,0.6,0.04,0.05,10,0.0015,0.04,0.15,0.08,10.0,0.002777777777777778,0.0027027027027027024,0.043179999999999996,17.383710318432076,109.17978848418139
1,8.280454072093162,0.6,0.04,0.05,10,0.002,0.04,0.15,0.08,10.0,0.0022222222222222222,0.002173913043478261,0.04368,12.69035106834201,89.81440109988245
2,10.832772230551111,0.6,0.05,0.05,10,0.001,0.05,0.15,0.08,10.0,0.0044444444444444444,0.00425531914893617,0.05360000000000001,20.75243722327799,168.16313397424793
3,6.624363257674529,0.6,0.05,0.05,10,0.002,0.05,0.15,0.08,10.0,0.0033333333333333335,0.0032258064516129037,0.05460000000000001,12.690351068342009,133.27298227724492
4,13.29856100102288,0.6,0.06,0.05,10,0.001,0.06,0.15,0.08,10.0,0.005555555555555555,0.005263157894736842,0.06472,30.571404600052595,207.99124465235928
5,28.13236722863195,1.8,0.04,0.05,10,0.001,0.04,0.15,0.08,10.0,0.003333333333333333,0.0032258064516129032,0.042679999999999996,43.114739047711794,382.4355143607897
6,27.919986016021856,1.8,0.04,0.05,10,0.0015,0.04,0.15,0.08,10.0,0.002777777777777778,0.0027027027027027024,0.043179999999999996,42.78925059926721,327.53936545254413
7,22.4011177410857,1.8,0.05,0.05,10,0.001,0.05,0.15,0.08,10.0,0.0044444444444444444,0.00425531914893617,0.05360000000000001,42.91401866108371,504.4894019227438
8,22.28447592348903,1.8,0.05,0.05,10,0.0015,0.05,0.15,0.08,10.0,0.003888888888888889,0.0037433155080213907,0.05410000000000001,42.690566903235684,453.6507788888179
9,23.58760878601912,1.8,0.06,0.05,10,0.001,0.06,0.15,0.08,10.0,0.005555555555555555,0.005263157894736842,0.06472,54.22438801383706,623.9737339570779
10,24.365406518308934,1.8,0.06,0.05,10,0.0015,0.06,0.15,0.08,10.0,0.005,0.0047619047619047615,0.06522,56.01242877772168,577.0931677021016
11,24.89508276012451,1.8,0.06,0.05,10,0.002,0.06,0.15,0.08,10.0,0.004444444444444444,0.004255319148936169,0.06572,57.23007531063105,527.4207383737776
12,31.955697757205257,2.4,0.04,0.05,10,0.002,0.04,0.15,0.08,10.0,0.0022222222222222222,0.002173913043478261,0.04368,48.9742494363299,359.2576043995298
13,26.605526179181435,2.4,0.05,0.05,10,0.0015,0.05,0.15,0.08,10.0,0.003888888888888889,0.0037433155080213907,0.05410000000000001,50.96844095628628,604.8677051850906
14,27.487071833314115,2.4,0.06,0.05,10,0.001,0.06,0.15,0.08,10.0,0.005555555555555555,0.005263157894736842,0.06472,63.188670881181864,831.9649786094371
15,28.568425950896778,2.4,0.06,0.05,10,0.0015,0.06,0.15,0.08,10.0,0.005,0.0047619047619047615,0.06522,65.67454241585466,769.4575569361355
16,29.359553599335843,2.4,0.06,0.05,10,0.002,0.06,0.15,0.08,10.0,0.004444444444444444,0.004255319148936169,0.06572,67.49322666513986,703.2276511650368
17,3.342796272816025,0.6,0.04,0.05,15,0.0015,0.04,0.15,0.08,10.0,0.00125,0.0012345679012345679,0.06393,5.123059421940268,51.59198178690564
18,4.3963483354519575,0.6,0.05,0.05,15,0.001,0.05,0.15,0.08,10.0,0.0025,0.0024390243902439024,0.07910000000000002,8.422123247992255,98.52810180279785
19,2.6763275725197464,0.6,0.05,0.05,15,0.0015,0.05,0.15,0.08,10.0,0.0019642857142857144,0.0019264448336252192,0.07985000000000002,5.127064315171928,80.50517648359533
20,1.7600825351307476,0.6,0.05,0.05,15,0.002,0.05,0.15,0.08,10.0,0.0014285714285714288,0.0014084507042253524,0.08060000000000002,3.3718056228558386,60.960545884024825
21,5.69942181386545,0.6,0.06,0.05,15,0.002,0.06,0.15,0.08,10.0,0.002142857142857143,0.002097902097902098,0.09672,13.102119112334368,90.80137254054046
22,21.194807368315693,1.8,0.04,0.05,15,0.001,0.04,0.15,0.08,10.0,0.0017857142857142859,0.001754385964912281,0.06318,32.48246339971754,212.61327231130065
23,13.010421072835223,1.8,0.04,0.05,15,0.0015,0.04,0.15,0.08,10.0,0.00125,0.0012345679012345679,0.06393,19.939342640360493,154.77594536071692
24,16.929084774238007,1.8,0.05,0.05,15,0.001,0.05,0.15,0.08,10.0,0.0025,0.0024390243902439024,0.07910000000000002,32.43119688551342,295.58430540839356
25,10.416473456812788,1.8,0.05,0.05,15,0.0015,0.05,0.15,0.08,10.0,0.0019642857142857144,0.0019264448336252192,0.07985000000000002,19.954929993894233,241.515529450786
26,23.128543058038694,1.8,0.06,0.05,15,0.001,0.06,0.15,0.08,10.0,0.0032142857142857142,0.003114186851211073,0.09522,53.169064501238374,377.4069505041426
27,22.6740691190017,1.8,0.06,0.05,15,0.0015,0.06,0.15,0.08,10.0,0.0026785714285714286,0.002608695652173913,0.09597,52.12429682529125,327.04830193612355
28,27.69300438783943,2.4,0.04,0.05,15,0.001,0.04,0.15,0.08,10.0,0.0017857142857142859,0.001754385964912281,0.06318,42.44138603500296,283.4843630817342
29,18.714962925019538,2.4,0.04,0.05,15,0.0015,0.04,0.15,0.08,10.0,0.00125,0.0012345679012345679,0.06393,28.68193551727132,206.36792714762257
30,8.690095825620652,2.4,0.04,0.05,15,0.002,0.04,0.15,0.08,10.0,0.0007142857142857144,0.0007092198581560285,0.06468,13.318154522023988,122.7857803621493
31,22.110650475806708,2.4,0.05,0.05,15,0.001,0.05,0.15,0.08,10.0,0.0025,0.0024390243902439024,0.07910000000000002,42.35756796131553,394.1124072111914
